UserId,ProductId,Rating,Timestamp
Phil (not) in Magnolia,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,
Amanda0205,All-New Amazon Fire 7 Tablet Case (7th Generation,2.0,2017-07-20 00:00:00+00:00
Dennis Pendergrass,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-07-02 00:00:00+00:00
Rosemary Williams,All-New Amazon Fire 7 Tablet Case (7th Generation,4.0,2017-07-20 00:00:00+00:00
Julia,All-New Amazon Fire 7 Tablet Case (7th Generation,4.0,2017-07-10 00:00:00+00:00
Biblio Ninja,All-New Amazon Fire 7 Tablet Case (7th Generation,3.0,2017-07-22 00:00:00+00:00
Kindle Lover,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-07-18 00:00:00+00:00
Emmie Golemi,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-07-20 00:00:00+00:00
Nathan R.,All-New Amazon Fire 7 Tablet Case (7th Generation,3.0,2017-07-03 00:00:00+00:00
Peggy,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-07-12 00:00:00+00:00
Sunspotbaby,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-07-12 00:00:00+00:00
Jessica,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-07-07 00:00:00+00:00
Stemwind,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-06-29 00:00:00+00:00
Amazon Customer,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-06-16 00:00:00+00:00
FLgurrl,All-New Amazon Fire 7 Tablet Case (7th Generation,1.0,2017-07-20 00:00:00+00:00
Amazon Customer,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-06-09 00:00:00+00:00
Maggie,All-New Amazon Fire 7 Tablet Case (7th Generation,1.0,2017-07-14 00:00:00+00:00
DC,All-New Amazon Fire 7 Tablet Case (7th Generation,1.0,2017-06-12 00:00:00+00:00
EE0715,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-06-18 00:00:00+00:00
Nickolas Snyder,All-New Amazon Fire 7 Tablet Case (7th Generation,1.0,2017-06-17 00:00:00+00:00
Crystal Shipley,All-New Amazon Fire 7 Tablet Case (7th Generation,2.0,2017-06-28 00:00:00+00:00
Dorothy Bengtson,All-New Amazon Fire 7 Tablet Case (7th Generation,4.0,2017-06-16 00:00:00+00:00
J. Seeburger,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,
Flight-ER-Doc,All-New Amazon Fire 7 Tablet Case (7th Generation,2.0,2017-06-25 00:00:00+00:00
Scott716,All-New Amazon Fire 7 Tablet Case (7th Generation,4.0,2017-06-15 00:00:00+00:00
amh,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-06-11 00:00:00+00:00
Regina G.Fetty,All-New Amazon Fire 7 Tablet Case (7th Generation,5.0,2017-06-14 00:00:00+00:00
L. Kirk,Kindle,4.0,2012-09-12 00:00:00+00:00
Tricia L,Kindle,5.0,2012-09-25 00:00:00+00:00
ShirtGuy,Kindle,5.0,2013-12-18 00:00:00+00:00
Carmylita,Kindle,5.0,2013-11-04 00:00:00+00:00
JJCEO,All-New Amazon Fire HD 8 Tablet Case (7th Generation,4.0,
bklynfinest,All-New Amazon Fire HD 8 Tablet Case (7th Generation,1.0,2017-06-25 00:00:00+00:00
J. Chambers,All-New Amazon Fire HD 8 Tablet Case (7th Generation,5.0,
TerriG,All-New Amazon Fire HD 8 Tablet Case (7th Generation,2.0,2017-07-25 00:00:00+00:00
David Mallinder,All-New Amazon Fire HD 8 Tablet Case (7th Generation,4.0,
Dimples,All-New Amazon Fire HD 8 Tablet Case (7th Generation,3.0,2017-07-25 00:00:00+00:00
Darlene,All-New Amazon Fire HD 8 Tablet Case (7th Generation,2.0,2017-07-13 00:00:00+00:00
Bill M.,All-New Amazon Fire HD 8 Tablet Case (7th Generation,4.0,2017-06-20 00:00:00+00:00
Joyce AC,All-New Amazon Fire HD 8 Tablet Case (7th Generation,3.0,2017-07-08 00:00:00+00:00
AMA,All-New Amazon Fire HD 8 Tablet Case (7th Generation,4.0,2017-06-11 00:00:00+00:00
Jeremy Hutchings,All-New Amazon Fire HD 8 Tablet Case (7th Generation,5.0,2017-06-25 00:00:00+00:00
FreeReader,All-New Amazon Fire HD 8 Tablet Case (7th Generation,4.0,2017-06-17 00:00:00+00:00
